Composer,Name,Style,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Betweenness Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
monteverdi,madrigal.3.9,renaissance,Recursive Trajectory,0.21506081717429146,0.04404761904761905,0.2713906029367141,12.983333333333336,0.13075196408529743,0.18409090909090908,"[2, 3, 7]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.1,renaissance,Recursive Trajectory,0.1298058898037748,0.2664728682170543,0.37789554376586565,16.481746031746027,0.03963650957459004,0.06693330909311275,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.1,renaissance,Recursive Trajectory,0.15044002229163,0.005319148936170213,0.2302273643410276,14.194791319791316,0.11459404706249025,0.09440949448980501,"[2, 3, 7]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.10,renaissance,Recursive Trajectory,0.14325513266311737,0.2868159203980099,0.5027231048346827,15.572691197691192,0.056675106074107987,0.0686411847108265,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.10,renaissance,Recursive Trajectory,0.15169042727440302,0.3313218390804598,0.39189905318834206,16.041616716616712,0.11113653699466057,0.08153222424157697,"[3, 4, 5]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.11,renaissance,Recursive Trajectory,0.16898735846967863,0.23576388888888888,0.36929229817685266,15.457092907092905,0.1232922732362822,0.0977001326846528,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.11,renaissance,Recursive Trajectory,0.19264858655592548,0.3023148148148148,0.4897857274002091,11.1,0.04044265593561368,0.11737089201877936,"[3, 4, 5]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.12,renaissance,Recursive Trajectory,0.14119642853731726,0.2835497835497836,0.41481234883422324,13.6,0.012243606272611049,0.06466743560169165,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.12,renaissance,Recursive Trajectory,0.14677927133398272,0.2930348258706467,0.4564473447039843,15.577092352092347,0.05468215994531784,0.0700871120532609,"[3, 4, 5]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.13,renaissance,Recursive Trajectory,0.11981254797798511,0.2802536231884058,0.35717622129120163,18.378479179059667,0.08406893652795291,0.0527242044358727,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.13,renaissance,Recursive Trajectory,0.11601089214550062,0.003205128205128205,0.2086017518301498,16.121868376534536,0.1288227901131127,0.055598274568642164,"[2, 3, 7]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.14,renaissance,Recursive Trajectory,0.15768249977392804,0.2830065359477124,0.41888365603319483,15.471378621378618,0.11108910891089109,0.09305441822377726,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.14,renaissance,Recursive Trajectory,0.15918190360959364,0.322875816993464,0.4786983249050938,15.39130591630591,0.10957095709570959,0.08963642265865931,"[3, 4, 5]",[],0,[],[<music21.meter.TimeSignature 4/4>]
