Composer,Name,Style,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
haydn,op17n2-03,classical,Recursive Trajectory,0.10327363025434637,0.23791079812206573,0.31498616333145535,21.840578655128404,0.03798667991076517,"[3, 4, 5]",[],0,179,['4/4']
haydn,op17n2-04,classical,Recursive Trajectory,0.08146870221640076,0.21251819505094613,0.28089462289266764,19.378626772879034,0.017050782915115515,"[3, 4, 5]",[],0,227,['2/4']
haydn,op17n3-01,classical,Recursive Trajectory,0.10695128019324707,0.21267217630853996,0.2879574717355293,23.584936713613182,0.060354583176159944,"[3, 4, 5]",[],0,239,['2/4']
haydn,op17n3-02,classical,Recursive Trajectory,0.20999678137200223,0.21464646464646464,0.3407553259735424,13.996825396825395,0.15147928994082843,"[3, 4, 5]",[],0,235,['3/4']
haydn,op17n3-03,classical,Recursive Trajectory,0.12146662346224506,0.2202970297029703,0.30503794339373275,19.266954066969223,0.04820856955532416,"[3, 4, 5]",[],0,227,['3/4']
haydn,op17n3-04,classical,Recursive Trajectory,0.09371927797314149,0.2296184738955823,0.3426082895484512,18.525165303938003,0.02762192490289167,"[3, 4, 5]",[],0,234,['4/4']
haydn,op17n5-01,classical,Recursive Trajectory,0.13128644621492186,0.1549242424242424,0.25415289684283754,22.824119752796225,0.07878220140515223,"[3, 4, 5]",[],0,213,['4/4']
haydn,op17n5-02,classical,Recursive Trajectory,0.1365060425164727,0.259047619047619,0.3382209769739046,11.50238095238095,0.055511146638244954,"[3, 4, 5]",[],0,167,['3/4']
haydn,op17n5-03,classical,Recursive Trajectory,0.14383247294285442,0.17386831275720163,0.2466131787847046,25.84603174603175,0.1172612176844574,"[3, 4, 5]",[],0,136,['3/4']
haydn,op17n5-04,classical,Recursive Trajectory,0.1492533541099398,0.23184079601990049,0.3100729620471423,14.9742784992785,0.06514998837299434,"[3, 4, 5]",[],0,151,['2/4']
haydn,op17n6-01,classical,Recursive Trajectory,0.09176425598966048,0.21262626262626264,0.2749804648367294,24.818459726547964,0.04000422821807035,"[3, 4, 5]",[],0,245,['6/8']
haydn,op17n6-02,classical,Recursive Trajectory,0.1978499428908038,0.20190476190476186,0.27384529780723504,13.456349206349202,0.12318840579710146,"[3, 4, 5]",[],0,173,['3/4']
haydn,op17n6-03,classical,Recursive Trajectory,0.12358481614381436,0.18072916666666664,0.2831697117700243,22.51974079841727,0.06740557617763704,"[3, 4, 5]",[],0,195,['4/4']
haydn,op17n6-04,classical,Recursive Trajectory,0.0733425139045025,0.16591639871382635,0.29846891329265346,17.765762320754575,0.016235104669887278,"[3, 4, 5]",[],0,238,['2/4']
haydn,op20n1-01,classical,Recursive Trajectory,0.09094269927358345,0.1840909090909091,0.27606629940086386,27.50055494410725,0.03579596051201084,"[3, 4, 5]",[],0,226,['4/4']
haydn,op20n1-02,classical,Recursive Trajectory,0.15441073278485476,0.22043010752688172,0.3342793970777457,14.547172272172268,0.0673019975232865,"[3, 4, 5]",[],0,137,['3/4']
haydn,op20n1-04,classical,Recursive Trajectory,0.11339819739972531,0.21637931034482757,0.324678551606953,26.352526640026642,0.07132523390587907,"[3, 4, 5]",[],0,216,['2/4']
haydn,op20n2-01,classical,Recursive Trajectory,0.08494061660285183,0.1947286821705426,0.2766116139537908,28.215279698954447,0.030164052769308492,"[3, 4, 5]",[],0,212,['4/4']
haydn,op20n2-03,classical,Recursive Trajectory,0.15999604771675208,0.22777777777777777,0.27213888221470056,16.513967770275826,0.06590389826605976,"[3, 4, 5]",[],0,115,['3/4']
haydn,op20n2-04,classical,Recursive Trajectory,0.06314907861626036,0.19996513249651324,0.28502732924114693,32.46024289007401,0.01687005895078856,"[3, 4, 5]",[],0,239,['6/8']
haydn,op20n3-02,classical,Recursive Trajectory,0.13182012918511812,0.20700757575757578,0.3236504949053442,19.994222444222444,0.06165137614678899,"[3, 4, 5]",[],0,235,['3/4']
haydn,op20n3-03,classical,Recursive Trajectory,0.11673808003928227,0.19660766961651918,0.2560412355447188,29.22417166167166,0.08210767468499428,"[3, 4, 5]",[],0,229,['3/4']
haydn,op20n3-04,classical,Recursive Trajectory,0.09762605184237205,0.19705882352941176,0.26808552030042027,33.797317470783966,0.05295610036882823,"[3, 4, 5]",[],0,215,['4/4']
haydn,op20n4-03,classical,Recursive Trajectory,0.15311042239177572,0.2905797101449275,0.334013538429852,12.526873126873118,0.07875457875457875,"[3, 4, 5]",[],0,237,['3/4']
haydn,op20n4-04,classical,Recursive Trajectory,0.08443546655939249,0.20390070921985815,0.2983816508094157,23.709467751031237,0.02672729795250752,"[3, 4, 5]",[],0,217,['4/4']
haydn,op20n5-01,classical,Recursive Trajectory,0.08504450946677983,0.20457796852646634,0.2750202186239476,30.257808986729238,0.03515207037696071,"[3, 4, 5]",[],0,230,['4/4']
haydn,op20n5-02,classical,Recursive Trajectory,0.14606659001386296,0.20325203252032523,0.2836290802562021,24.533802308802315,0.10815916259401753,"[3, 4, 5]",[],0,171,['3/4']
haydn,op20n5-03,classical,Recursive Trajectory,0.11381956791018331,0.2248091603053435,0.2722295422523104,21.15439011242015,0.03845068756199888,"[3, 4, 5]",[],0,223,['6/8']
haydn,op20n5-04,classical,Recursive Trajectory,0.07048970989679179,0.2046774193548387,0.2980647355928911,24.572077758842468,0.025649196942875093,"[3, 4, 5]",[],0,146,['4/4']
haydn,op20n6-01,classical,Recursive Trajectory,0.07224909101321053,0.21869791666666663,0.3246711036205251,20.69670866807432,0.01443949461768838,"[3, 4, 5]",[],0,228,['6/8']
haydn,op20n6-02,classical,Recursive Trajectory,0.11013475891358272,0.21772486772486774,0.3095268126699946,29.990656565656575,0.0837833055396181,"[3, 4, 5]",[],0,230,['4/4']
haydn,op20n6-03,classical,Recursive Trajectory,0.2079078184241201,0.20384615384615384,0.2777827228097847,10.580158730158725,0.13320545609548165,"[3, 4, 5]",[],0,148,['3/4']
haydn,op20n6-04,classical,Recursive Trajectory,0.06741955447043067,0.23849206349206348,0.28364904567434157,19.252938302707648,0.011522538717794935,"[3, 4, 5]",[],0,238,['4/4']
haydn,op33n1-01,classical,Recursive Trajectory,0.11395587404914077,0.20187793427230044,0.31660964462114444,28.981865206516943,0.057629928951785196,"[3, 4, 5]",[],0,213,['4/4']
haydn,op33n1-02,classical,Recursive Trajectory,0.15125650844686314,0.24861111111111114,0.3761896394640445,14.28217893217893,0.06824178946941095,"[3, 4, 5]",[],0,118,['3/4']
haydn,op33n1-03,classical,Recursive Trajectory,0.1546015301724268,0.17803030303030304,0.26797029804471756,22.62976190476192,0.1264780721448885,"[2, 3, 7]",[],0,230,['6/8']
haydn,op33n1-04,classical,Recursive Trajectory,0.09762337982988911,0.21677148846960168,0.2862097258637535,22.90958948602139,0.0404539732854966,"[3, 4, 5]",[],0,234,['2/4']
haydn,op33n2-01,classical,Recursive Trajectory,0.10310826370393696,0.168944099378882,0.265774099346477,29.17200745983056,0.04765286176776006,"[3, 4, 5]",[],0,222,['4/4']
haydn,op33n2-02,classical,Recursive Trajectory,0.10860483727981421,0.18958333333333335,0.3291701078486969,12.371428571428561,0.03807163775625141,"[3, 4, 5]",[],0,198,['3/4']
haydn,op33n2-03,classical,Recursive Trajectory,0.13202806288822536,0.16329966329966328,0.3032213666813586,15.915512265512264,0.05333121827411167,"[3, 4, 5]",[],0,217,['3/4']
haydn,op33n3-01,classical,Recursive Trajectory,0.09844719601670832,0.18630952380952379,0.28351306332391313,29.31963951081599,0.05608653977817336,"[3, 4, 5]",[],0,205,['4/4']
haydn,op33n3-02,classical,Recursive Trajectory,0.20167200412545866,0.23382352941176468,0.38667032479935476,12.971825396825391,0.1259979173897952,"[3, 4, 5]",[],0,233,['3/4']
haydn,op33n3-03,classical,Recursive Trajectory,0.11586566139912421,0.17693452380952382,0.23858113363162087,28.47269119769121,0.09428518954988598,"[3, 4, 5]",[],0,215,['3/4']
haydn,op33n3-04,classical,Recursive Trajectory,0.11513727912930731,0.2194704049844237,0.2919250669202571,16.630902430902424,0.05032276995305164,"[3, 4, 5]",[],0,233,['2/4']
haydn,op33n4-01,classical,Recursive Trajectory,0.09673186318609144,0.191010101010101,0.3279087298348015,26.706775048496294,0.038076739580074265,"[3, 4, 5]",[],0,227,['4/4']
haydn,op33n4-02,classical,Recursive Trajectory,0.1461283186759311,0.20900900900900904,0.327090589395729,15.436000111000105,0.05523891238176953,"[3, 4, 5]",[],0,137,['3/4']
haydn,op33n4-03,classical,Recursive Trajectory,0.14696011400713704,0.21492537313432833,0.31002663646624734,19.733838383838382,0.09357679914070892,"[3, 4, 5]",[],0,231,['3/4']
haydn,op33n4-04,classical,Recursive Trajectory,0.09610530124149132,0.21333333333333332,0.28278329474222585,31.010219437425338,0.05546460662483663,"[3, 4, 5]",[],0,230,['2/4']
haydn,op33n5-01,classical,Recursive Trajectory,0.0860577087930159,0.17546494992846928,0.2714118381815185,25.122208347208353,0.03545177339110897,"[3, 4, 5]",[],0,224,['2/4']
haydn,op33n5-02,classical,Recursive Trajectory,0.12735719774476323,0.15979381443298968,0.30503019031743317,18.718253968253972,0.067422011050674,"[3, 4, 5]",[],0,229,['4/4']
haydn,op33n5-03,classical,Recursive Trajectory,0.22370633721632754,0.24055555555555555,0.38877690827641836,14.650000000000002,0.19262482821804855,"[3, 4, 5]",[],0,213,['3/4']
haydn,op33n5-04,classical,Recursive Trajectory,0.13250858855294154,0.21901709401709404,0.3130223629252877,20.368850593850592,0.07589605734767026,"[3, 4, 5]",[],0,230,['6/8']
haydn,op33n6-01,classical,Recursive Trajectory,0.08493545927929587,0.206078431372549,0.3265752125972744,18.086141941134205,0.020048574478288443,"[3, 4, 5]",[],0,224,['6/8']
haydn,op33n6-02,classical,Recursive Trajectory,0.1399162541966442,0.18289473684210528,0.2699566695762176,24.115476190476198,0.11426888229797262,"[3, 4, 5]",[],0,217,['4/4']
haydn,op33n6-03,classical,Recursive Trajectory,0.20142355008539803,0.20539215686274506,0.3110909006528193,12.885714285714284,0.13432835820895522,"[3, 4, 5]",[],0,120,['3/4']
haydn,op33n6-04,classical,Recursive Trajectory,0.13629512898630503,0.21196078431372548,0.3051022721606631,24.42848540348541,0.09732279554764761,"[3, 4, 5]",[],0,213,['2/4']
haydn,op42-01,classical,Recursive Trajectory,0.11168599031797684,0.20551724137931032,0.28373720194219365,26.18568971877795,0.058998617103990215,"[3, 4, 5]",[],0,226,['2/4']
haydn,op42-02,classical,Recursive Trajectory,0.12958253736112965,0.19737827715355805,0.3269763250072667,17.652727827727816,0.06091554396639142,"[3, 4, 5]",[],0,177,['3/4']
haydn,op42-03,classical,Recursive Trajectory,0.13470541378338158,0.1747685185185185,0.28762110001967084,17.5547841047841,0.07283435821718885,"[3, 4, 5]",[],0,153,['2/2']
haydn,op42-04,classical,Recursive Trajectory,0.12618858264923752,0.19374999999999998,0.3225585436221699,21.134058996559,0.060181181259882414,"[3, 4, 5]",[],0,215,['2/4']
haydn,op50n1-01,classical,Recursive Trajectory,0.10066760798837526,0.18824200913242006,0.24656087957696438,28.25785799698261,0.05151867863873185,"[3, 4, 5]",[],0,174,['4/4']
haydn,op50n1-02,classical,Recursive Trajectory,0.13649383640455862,0.16176470588235295,0.2386226126932249,22.811433011433024,0.08267619661374422,"[2, 3, 7]",[],0,233,['6/8']
haydn,op50n1-03,classical,Recursive Trajectory,0.11707807275669667,0.20948012232415902,0.31995656075774115,20.61703198332457,0.05696018599244405,"[3, 4, 5]",[],0,128,['3/4']
haydn,op50n1-04,classical,Recursive Trajectory,0.07681906482662874,0.1994845360824742,0.306960746483346,18.878156973745213,0.022762478485370052,"[3, 4, 5]",[],0,226,['2/4']
haydn,op50n2-01,classical,Recursive Trajectory,0.08047828037083234,0.2157676348547718,0.2964816910490479,30.05863548906336,0.031569811838870136,"[3, 4, 5]",[],0,153,['3/4']
haydn,op50n2-02,classical,Recursive Trajectory,0.09816115257803024,0.1864516129032258,0.30568042102225756,22.023404659491177,0.03361840081536955,"[3, 4, 5]",[],0,195,['4/4']
haydn,op50n2-03,classical,Recursive Trajectory,0.15094022152159062,0.22146464646464648,0.3256441496307429,18.03769841269841,0.08943676500928409,"[3, 4, 5]",[],0,211,['3/4']
haydn,op50n2-04,classical,Recursive Trajectory,0.06224014316024027,0.194550601556971,0.30861085704096647,20.427380952380958,0.01599335945141455,"[3, 4, 5]",[],0,236,['2/4']
haydn,op50n3-01,classical,Recursive Trajectory,0.10179042634084272,0.20442890442890443,0.2441353999746847,32.80371295371298,0.08217291195468346,"[3, 4, 5]",[],0,231,['6/8']
haydn,op50n3-03,classical,Recursive Trajectory,0.1450308288087379,0.2273809523809524,0.3067724691512982,16.928573121065387,0.06651134234844071,"[3, 4, 5]",[],0,234,['3/4']
haydn,op50n3-04,classical,Recursive Trajectory,0.12467684101559438,0.18018867924528303,0.24163966561110958,27.79859307359308,0.08981431124232772,"[3, 4, 5]",[],0,220,['2/4']
haydn,op50n4-01,classical,Recursive Trajectory,0.09958398071262509,0.19990196078431374,0.31323425148063094,34.03093515961169,0.06581474926253687,"[3, 4, 5]",[],0,223,['3/4']
haydn,op50n4-03,classical,Recursive Trajectory,0.14511047409711308,0.1951219512195122,0.29652611992068606,22.571256521256522,0.08769397329483941,"[3, 4, 5]",[],0,170,['3/4']
haydn,op50n4-04,classical,Recursive Trajectory,0.08716623338630093,0.1601275917065391,0.25606495689852726,27.658275058275063,0.042840991477431166,"[3, 4, 5]",[],0,237,['6/8']
haydn,op50n6-01,classical,Recursive Trajectory,0.07358854820289167,0.18970238095238093,0.2848101059944315,31.816839425498372,0.026523894709941223,"[3, 4, 5]",[],0,216,['4/4']
haydn,op50n6-02,classical,Recursive Trajectory,0.1243730449499643,0.20498442367601244,0.2666385396971097,26.880910755910758,0.07612001978199162,"[3, 4, 5]",[],0,232,['6/8']
haydn,op50n6-03,classical,Recursive Trajectory,0.11986957747924877,0.15303030303030302,0.31301789123022206,19.96554834054835,0.05695224147750387,"[3, 4, 5]",[],0,146,['3/4']
haydn,op50n6-04,classical,Recursive Trajectory,0.0754540741179364,0.1961768219832736,0.32300621868889023,24.78747918747919,0.028468838163631698,"[3, 4, 5]",[],0,233,['2/4']
haydn,op54n1-01,classical,Recursive Trajectory,0.10455616368098881,0.18264840182648404,0.2596079683024635,30.726150483503424,0.06371899136606184,"[3, 4, 5]",[],0,226,['4/4']
haydn,op54n1-02,classical,Recursive Trajectory,0.10006579973343858,0.1306140350877193,0.3137650859592469,25.019527694527707,0.04449078408564322,"[3, 4, 5]",[],0,239,['6/8']
haydn,op54n1-03,classical,Recursive Trajectory,0.13201808625062073,0.24285714285714283,0.38635985188885974,21.044777444777438,0.06933160004333225,"[3, 4, 5]",[],0,238,['3/4']
haydn,op54n1-04,classical,Recursive Trajectory,0.10967611384044015,0.2224310776942356,0.2952967807708654,27.458077971668644,0.05625697460813433,"[3, 4, 5]",[],0,223,['2/4']
haydn,op54n2-01,classical,Recursive Trajectory,0.06381400166274984,0.18125996810207332,0.2731840916835521,28.257591484023393,0.020632219097333926,"[3, 4, 5]",[],0,181,['4/4']
haydn,op54n2-03,classical,Recursive Trajectory,0.15174318962592828,0.21425120772946862,0.38045122372921686,21.270670995671008,0.10598540145985402,"[3, 4, 5]",[],0,125,['3/4']
haydn,op54n2-04,classical,Recursive Trajectory,0.08386477380555589,0.2011904761904762,0.31874716232447,20.744344544344553,0.024925224327018942,"[3, 4, 5]",[],0,236,['2/4']
haydn,op54n3-01,classical,Recursive Trajectory,0.08593122591820894,0.19114832535885168,0.24159862692315762,37.46030419150366,0.05353234508658197,"[3, 4, 5]",[],0,167,['2/2']
haydn,op54n3-02,classical,Recursive Trajectory,0.10353449497010472,0.20844748858447487,0.27815935080383686,26.22472015477236,0.048913545308666935,"[3, 4, 5]",[],0,228,['3/4']
haydn,op54n3-03,classical,Recursive Trajectory,0.18453601614252776,0.25916666666666666,0.3644313437845951,15.189682539682538,0.12921586950981226,"[3, 4, 5]",[],0,192,['3/4']
haydn,op54n3-04,classical,Recursive Trajectory,0.10907212315619005,0.23459595959595958,0.28574227159532234,24.922280497280504,0.060785119720480944,"[3, 4, 5]",[],0,229,['2/4']
haydn,op55n1-03,classical,Recursive Trajectory,0.12169576968735135,0.1953795379537954,0.3321149475641617,16.512337662337654,0.051824212271973466,"[3, 4, 5]",[],0,222,['3/4']
haydn,op55n1-04,classical,Recursive Trajectory,0.09865652888483092,0.17730263157894735,0.2560629770624184,21.974911022680608,0.03451650385922126,"[3, 4, 5]",[],0,212,['4/4']
haydn,op55n2-01,classical,Recursive Trajectory,0.08485265456744115,0.19431673052362708,0.278952007841308,40.428774904370734,0.050129840803883934,"[3, 4, 5]",[],0,237,['2/4']
haydn,op55n2-02,classical,Recursive Trajectory,0.07961477100810725,0.19153005464480874,0.25859001019328964,33.90005325479064,0.03643320716129404,"[3, 4, 5]",[],0,210,['2/2']
haydn,op55n2-03,classical,Recursive Trajectory,0.12922671062741475,0.23157051282051283,0.2838750393367062,23.557458124950383,0.06390424903923765,"[3, 4, 5]",[],0,150,['3/4']
haydn,op55n2-04,classical,Recursive Trajectory,0.07577699988230127,0.20144654088050312,0.3338111588395544,27.03850379011073,0.026847429255833416,"[3, 4, 5]",[],0,231,['6/8']
mozart,k080-01,classical,Recursive Trajectory,0.13664701978266838,0.2202222222222222,0.30549211886895405,12.466666666666665,0.05756020529016975,"[3, 4, 5]",[],0,227,['3/4']
mozart,k080-02,classical,Recursive Trajectory,0.09144686170742299,0.22162447257383966,0.270029955179428,16.041718835895598,0.02515902740621842,"[3, 4, 5]",[],0,211,['4/4']
mozart,k080-03,classical,Recursive Trajectory,0.225311195843509,0.266025641025641,0.4438796416710196,9.983333333333333,0.1474673202614379,"[3, 4, 5]","['Viola', 'Violoncello', 'Violin']",3,170,['3/4']
mozart,k080-04,classical,Recursive Trajectory,0.1160349062076299,0.17664041994750654,0.28133082461456843,22.035492285492296,0.05010746224644297,"[3, 4, 5]",[],0,160,['4/4']
mozart,k155-01,classical,Recursive Trajectory,0.11533598811881843,0.21766381766381768,0.2928435246120884,22.285714285714295,0.07085645553702742,"[3, 4, 5]",[],0,236,['4/4']
mozart,k155-02,classical,Recursive Trajectory,0.09021906444863914,0.24144385026737972,0.2935219718094469,24.772300062296768,0.028129328332035453,"[3, 4, 5]",[],0,214,['3/4']
mozart,k155-03,classical,Recursive Trajectory,0.14877719870673345,0.23706467661691544,0.28148220643102195,17.557922632922626,0.07930237215314315,"[3, 4, 5]",[],0,224,['2/4']
mozart,k156-01,classical,Recursive Trajectory,0.09411615585077972,0.20471491228070174,0.2585558896408708,30.083193337450318,0.06520868724654094,"[3, 4, 5]",[],0,229,['3/8']
mozart,k156-02,classical,Recursive Trajectory,0.09832195548359729,0.18902691511387162,0.31549312199846763,35.595260295260374,0.07849486103956632,"[3, 4, 5]",[],0,232,['4/4']
mozart,k157-01,classical,Recursive Trajectory,0.07342943288144363,0.23605442176870747,0.28615010229695476,17.909419540727587,0.019711591986452674,"[3, 4, 5]",[],0,227,['4/4']
mozart,k157-02,classical,Recursive Trajectory,0.10204979545161676,0.1964968152866242,0.29609632586858015,27.182377138685194,0.053399327914714696,"[3, 4, 5]",[],0,239,['3/8']
mozart,k157-03,classical,Recursive Trajectory,0.12113395638526275,0.23809523809523808,0.3163644511156235,19.554776757819763,0.0438158332895175,"[3, 4, 5]",[],0,215,['2/4']
mozart,k158-01,classical,Recursive Trajectory,0.07668436434045117,0.22240740740740741,0.3514524297482407,14.298124098124097,0.016770961080888443,"[3, 4, 5]",[],0,172,['3/4']
mozart,k158-03,classical,Recursive Trajectory,0.08741006564919572,0.19447077409162716,0.37307159009689467,26.094640284036576,0.03903848313788785,"[3, 4, 5]",[],0,138,['3/4']
mozart,k160-02,classical,Recursive Trajectory,0.08087725803942286,0.21736401673640166,0.32590110313504134,20.95674904770521,0.020653198021075615,"[3, 4, 5]",[],0,226,['3/4']
mozart,k160-03,classical,Recursive Trajectory,0.14909085829982408,0.24250000000000002,0.31442536548537336,16.256100843600837,0.07617734593837536,"[3, 4, 5]",[],0,192,['2/4']
mozart,k168-01,classical,Recursive Trajectory,0.07719555635963528,0.2207638888888889,0.2951651181468941,28.184752737016574,0.024807680865543597,"[3, 4, 5]",[],0,205,['4/4']
mozart,k168-02,classical,Recursive Trajectory,0.11940018059115602,0.2303030303030303,0.33579644191863267,24.796090021090023,0.0844909342036967,"[3, 4, 5]",[],0,125,['3/4']
mozart,k168-03,classical,Recursive Trajectory,0.1254078961092738,0.2299196787148594,0.3406402345920296,18.070551464359507,0.06140299094844549,"[3, 4, 5]",[],0,162,['3/4']
mozart,k169-01,classical,Recursive Trajectory,0.11735432203417526,0.22212121212121208,0.31713809490003114,17.660317460317458,0.05524052245938197,"[3, 4, 5]",[],0,214,['3/4']
